Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
fadianground,-22.852,14.031,2.2071,0,0,0,10874000,683820000,30998000,-4570200,655550000,2376700,1302700000,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/fadianground.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/fadianground.STL,,零件1^发电机层-1;柜子c-18/零件2^柜子c-1;柜子b-20/零件3^柜子b-1;柜子c-23/零件2^柜子c-1;柜子c-28/零件2^柜子c-1;柜子c-33/零件2^柜子c-1;柜子c-38/零件2^柜子c-1;柜子b-40/零件3^柜子b-1;柜子b-45/零件3^柜子b-1;柜子b-50/零件3^柜子b-1;柜子c-53/零件2^柜子c-1;柜子b-55/零件3^柜子b-1;柜子c-58/零件2^柜子c-1;柜子c-63/零件2^柜子c-1;柜子c-68/零件2^柜子c-1;柜子b-60/零件3^柜子b-1;柜子b-65/零件3^柜子b-1;柜子b-70/零件3^柜子b-1;柜子b-75/零件3^柜子b-1;柜子c-73/零件2^柜子c-1;柜子b-80/零件3^柜子b-1;柜子c-78/零件2^柜子c-1;柜子b-85/旋转按钮-72/旋转按钮 a-1;柜子b-85/旋转按钮-78/旋转按钮 a-1;柜子b-85/旋转按钮-78/旋转按钮 a-2;柜子b-85/旋转按钮-74/旋转按钮 a-1;柜子b-85/旋转按钮-89/旋转按钮 a-1;柜子b-85/旋转按钮-88/旋转按钮 a-1;柜子b-50/旋转按钮-72/旋转按钮 a-1;柜子b-50/旋转按钮-78/旋转按钮 a-1;柜子b-50/旋转按钮-78/旋转按钮 a-2;柜子b-50/旋转按钮-88/旋转按钮 a-1;柜子b-50/旋转按钮-88/旋转按钮 a-2;柜子b-50/旋转按钮-74/旋转按钮 a-1;柜子b-50/旋转按钮-89/旋转按钮 a-2;柜子b-50/旋转按钮-89/旋转按钮 a-1;柜子b-45/旋转按钮-74/旋转按钮 a-2;柜子b-45/旋转按钮-74/旋转按钮 a-1;柜子b-45/旋转按钮-89/旋转按钮 a-1;柜子b-45/旋转按钮-89/旋转按钮 a-2;柜子b-45/旋转按钮-78/旋转按钮 a-1;柜子b-45/旋转按钮-88/旋转按钮 a-1;柜子b-45/旋转按钮-88/旋转按钮 a-2;柜子b-45/旋转按钮-72/旋转按钮 a-2;柜子b-45/旋转按钮-72/旋转按钮 a-1;柜子b-40/旋转按钮-72/旋转按钮 a-2;柜子b-40/旋转按钮-72/旋转按钮 a-1;柜子b-40/旋转按钮-78/旋转按钮 a-2;柜子b-40/旋转按钮-78/旋转按钮 a-1;柜子b-40/旋转按钮-88/旋转按钮 a-2;柜子b-40/旋转按钮-88/旋转按钮 a-1;柜子b-40/旋转按钮-74/旋转按钮 a-2;柜子b-40/旋转按钮-74/旋转按钮 a-1;柜子b-40/旋转按钮-89/旋转按钮 a-2;柜子b-40/旋转按钮-89/旋转按钮 a-1;柜子b-35/旋转按钮-72/旋转按钮 a-1;柜子b-35/旋转按钮-72/旋转按钮 a-2;柜子b-35/旋转按钮-78/旋转按钮 a-1;柜子b-35/旋转按钮-78/旋转按钮 a-2;柜子b-35/旋转按钮-88/旋转按钮 a-1;柜子b-35/旋转按钮-88/旋转按钮 a-2;柜子b-35/旋转按钮-89/旋转按钮 a-2;柜子b-35/旋转按钮-89/旋转按钮 a-1;柜子b-35/零件3^柜子b-1;柜子b-35/旋转按钮-74/旋转按钮 a-1;柜子b-35/旋转按钮-74/旋转按钮 a-2;柜子b-30/旋转按钮-72/旋转按钮 a-1;柜子b-30/旋转按钮-72/旋转按钮 a-2;柜子b-30/旋转按钮-78/旋转按钮 a-1;柜子b-30/旋转按钮-78/旋转按钮 a-2;柜子b-30/旋转按钮-88/旋转按钮 a-1;柜子b-30/旋转按钮-88/旋转按钮 a-2;柜子b-30/旋转按钮-89/旋转按钮 a-2;柜子b-30/旋转按钮-89/旋转按钮 a-1;柜子b-30/零件3^柜子b-1;柜子b-30/旋转按钮-74/旋转按钮 a-1;柜子b-30/旋转按钮-74/旋转按钮 a-2;柜子b-25/旋转按钮-72/旋转按钮 a-1;柜子b-25/旋转按钮-72/旋转按钮 a-2;柜子b-25/旋转按钮-78/旋转按钮 a-1;柜子b-25/旋转按钮-78/旋转按钮 a-2;柜子b-25/旋转按钮-88/旋转按钮 a-1;柜子b-25/旋转按钮-88/旋转按钮 a-2;柜子b-25/旋转按钮-74/旋转按钮 a-1;柜子b-25/零件3^柜子b-1;柜子b-25/旋转按钮-74/旋转按钮 a-2;柜子b-25/旋转按钮-89/旋转按钮 a-1;柜子b-20/旋转按钮-72/旋转按钮 a-1;柜子b-20/旋转按钮-72/旋转按钮 a-2;柜子b-20/旋转按钮-78/旋转按钮 a-1;柜子b-20/旋转按钮-78/旋转按钮 a-2;柜子b-20/旋转按钮-88/旋转按钮 a-1;柜子b-20/旋转按钮-88/旋转按钮 a-2;柜子b-20/旋转按钮-74/旋转按钮 a-1;柜子b-20/旋转按钮-74/旋转按钮 a-2;柜子b-20/旋转按钮-89/旋转按钮 a-1;柜子b-20/旋转按钮-89/旋转按钮 a-2;柜子b-70/旋转按钮-72/旋转按钮 a-1;柜子b-70/旋转按钮-72/旋转按钮 a-2;柜子b-70/旋转按钮-78/旋转按钮 a-1;柜子b-70/旋转按钮-78/旋转按钮 a-2;柜子b-70/旋转按钮-74/旋转按钮 a-2;柜子b-70/旋转按钮-74/旋转按钮 a-1;柜子b-70/旋转按钮-88/旋转按钮 a-1;柜子b-70/旋转按钮-88/旋转按钮 a-2;柜子b-70/旋转按钮-89/旋转按钮 a-1;柜子b-70/旋转按钮-89/旋转按钮 a-2;柜子b-65/旋转按钮-72/旋转按钮 a-1;柜子b-65/旋转按钮-72/旋转按钮 a-2;柜子b-65/旋转按钮-74/旋转按钮 a-1;柜子b-65/旋转按钮-74/旋转按钮 a-2;柜子b-65/旋转按钮-78/旋转按钮 a-1;柜子b-65/旋转按钮-78/旋转按钮 a-2;柜子b-65/旋转按钮-88/旋转按钮 a-1;柜子b-65/旋转按钮-88/旋转按钮 a-2;柜子b-65/旋转按钮-89/旋转按钮 a-1;柜子b-65/旋转按钮-89/旋转按钮 a-2;柜子b-60/旋转按钮-72/旋转按钮 a-1;柜子b-60/旋转按钮-72/旋转按钮 a-2;柜子b-60/旋转按钮-74/旋转按钮 a-1;柜子b-60/旋转按钮-78/旋转按钮 a-1;柜子b-60/旋转按钮-78/旋转按钮 a-2;柜子b-60/旋转按钮-88/旋转按钮 a-1;柜子b-60/旋转按钮-88/旋转按钮 a-2;柜子b-60/旋转按钮-89/旋转按钮 a-1;柜子b-60/旋转按钮-89/旋转按钮 a-2;柜子b-55/旋转按钮-72/旋转按钮 a-1;柜子b-55/旋转按钮-72/旋转按钮 a-2;柜子b-55/旋转按钮-74/旋转按钮 a-1;柜子b-55/旋转按钮-74/旋转按钮 a-2;柜子b-55/旋转按钮-78/旋转按钮 a-1;柜子b-55/旋转按钮-78/旋转按钮 a-2;柜子b-55/旋转按钮-88/旋转按钮 a-1;柜子b-55/旋转按钮-88/旋转按钮 a-2;柜子b-55/旋转按钮-89/旋转按钮 a-1;柜子b-55/旋转按钮-89/旋转按钮 a-2;柜子b-80/旋转按钮-72/旋转按钮 a-1;柜子b-80/旋转按钮-72/旋转按钮 a-2;柜子b-80/旋转按钮-74/旋转按钮 a-1;柜子b-80/旋转按钮-74/旋转按钮 a-2;柜子b-80/旋转按钮-78/旋转按钮 a-1;柜子b-80/旋转按钮-78/旋转按钮 a-2;柜子b-80/旋转按钮-88/旋转按钮 a-1;柜子b-80/旋转按钮-88/旋转按钮 a-2;柜子b-80/旋转按钮-89/旋转按钮 a-1;柜子b-75/旋转按钮-72/旋转按钮 a-1;柜子b-75/旋转按钮-72/旋转按钮 a-2;柜子b-75/旋转按钮-74/旋转按钮 a-1;柜子b-75/旋转按钮-74/旋转按钮 a-2;柜子b-75/旋转按钮-78/旋转按钮 a-1;柜子b-75/旋转按钮-78/旋转按钮 a-2;柜子b-75/旋转按钮-88/旋转按钮 a-1;柜子b-75/旋转按钮-88/旋转按钮 a-2;柜子b-75/旋转按钮-89/旋转按钮 a-1;柜子b-75/旋转按钮-89/旋转按钮 a-2;柜子b-50/旋转按钮-74/旋转按钮 a-2;柜子b-85/零件3^柜子b-1;柜子b-85/旋转按钮-89/旋转按钮 a-2;发电机厂-1;柜子c-38/枫信机械传动_HMI触摸屏-T08B-1;柜子c-33/枫信机械传动_HMI触摸屏-T08B-1;柜子c-28/枫信机械传动_HMI触摸屏-T08B-1;柜子c-23/枫信机械传动_HMI触摸屏-T08B-1;柜子c-18/枫信机械传动_HMI触摸屏-T08B-1;柜子c-68/枫信机械传动_HMI触摸屏-T08B-1;柜子c-63/枫信机械传动_HMI触摸屏-T08B-1;柜子c-58/枫信机械传动_HMI触摸屏-T08B-1;柜子c-53/枫信机械传动_HMI触摸屏-T08B-1;柜子c-78/枫信机械传动_HMI触摸屏-T08B-1;柜子c-73/枫信机械传动_HMI触摸屏-T08B-1;摇扭面板-1/按钮板-1;按钮-1/按钮板1-1,fadianground,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r1352,0,-2.1387336346379E-12,0,0,0,0,0.000274889357189164,4.91937412136627E-09,-3.78988721567639E-25,-1.17668596251877E-26,8.59029241216137E-10,6.83734534087235E-26,4.91937412136627E-09,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r1352.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r1352.STL,,柜子b-85/旋转按钮-88/连接柱-1,rotate135_2,rotate135,fr135,revolute,-13.1867,4.81130000000076,0.691314592744305,0,0,0,fadianground,0,1,0,100,1,0,0.8,,,0.1,1,3.14,-3.14,1,1
r1351,1.4210854715202E-14,-0.00298032725006436,-2.8421709430404E-14,0,0,0,0.0273523457666111,1.91413422405539E-06,-8.68858645457238E-22,1.40460666191973E-06,3.53437888125644E-06,-1.06203990389248E-21,1.91413422405677E-06,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r1351.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r1351.STL,,柜子b-85/旋转按钮-88/旋转按钮 a-2,rotate135_1,rotate135,r1352_1,prismatic,0,0.0069999999999979,0,0,0,0,r1352,0,1,0,100,1,0,0.01,,,0.1,1,3.14,-3.14,1,1
r2222,-4.09983158533578E-12,-2.1529444893531E-12,0,0,0,0,0.000274889357189164,4.91937412136627E-09,-3.78988721567639E-25,-1.17668596251877E-26,8.59029241216137E-10,6.83734534087235E-26,4.91937412136627E-09,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r2222.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r2222.STL,,柜子b-50/旋转按钮-72/连接柱-1,rotate222_2,rotate222,fr2222,revolute,-13.7867,4.81130000000074,0.831314592744292,0,0,0,fadianground,0,1,0,100,1,0,0.8,,,0.1,1,3.14,-3.14,1,1
r2221,-4.09272615797818E-12,-0.00298032725007857,0,0,0,0,0.0273523457666111,1.91413422405539E-06,-8.68784380792553E-22,1.40460666191973E-06,3.53437888125644E-06,-1.06195647416433E-21,1.91413422405677E-06,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r2221.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r2221.STL,,柜子b-50/旋转按钮-72/旋转按钮 a-2,rotate222_1,rotate222,r2222_1,prismatic,0,0.0069999999999979,0,0,0,0,r2222,0,1,0,100,1,0,0.01,,,0.1,1,3.14,-3.14,1,1
r4332,-8.25650658953236E-12,-2.17426077142591E-12,0,0,0,0,0.000274889357189164,4.91937412136627E-09,-3.78988721567639E-25,-1.17668596251877E-26,8.59029241216137E-10,6.83734534087235E-26,4.91937412136627E-09,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r4332.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r4332.STL,,柜子b-45/旋转按钮-78/连接柱-1,rotate433_2,rotate433,fr4332,revolute,-15.4567,4.81130000000074,0.691314592744305,0,0,0,fadianground,0,1,0,100,1,0,0.8,,,0.1,1,3.14,-3.14,1,1
r4331,-8.24940116217476E-12,-0.002980327250107,-2.8421709430404E-14,0,0,0,0.0273523457666111,1.91413422405539E-06,-8.68828929159961E-22,1.40460666191973E-06,3.53437888125644E-06,-1.06203273845165E-21,1.91413422405677E-06,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r4331.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r4331.STL,,柜子b-45/旋转按钮-78/旋转按钮 a-2,rotate433_1,rotate433,r4332_1,prismatic,0,0.0069999999999979,0,0,0,0,r4332,0,1,0,100,1,0,0.01,,,0.1,1,3.14,-3.14,1,1
r12452,0,-2.1316282072803E-12,0,0,0,0,0.000274889357189164,4.91937412136627E-09,-3.78988721567639E-25,-1.17668596251877E-26,8.59029241216137E-10,6.83734534087235E-26,4.91937412136627E-09,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r12452.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r12452.STL,,柜子b-25/旋转按钮-89/连接柱-1,rotate1245_2,rotate1245,fr12452,revolute,-21.9967,4.81130000000074,0.551314592744291,0,0,0,fadianground,0,1,0,100,1,0,0.8,,,0.1,1,3.14,-3.14,1,1
r12451,7.105427357601E-15,-0.00298032725007147,2.8421709430404E-14,0,0,0,0.0273523457666111,1.91413422405539E-06,-8.68776541369785E-22,1.40460666191973E-06,3.53437888125644E-06,-1.0619887512232E-21,1.91413422405677E-06,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r12451.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r12451.STL,,柜子b-25/旋转按钮-89/旋转按钮 a-2,rotate1245_1,rotate1245,r12452_1,prismatic,0,0.0069999999999979,0,0,0,0,r12452,0,1,0,100,1,0,0.01,,,0.1,1,3.14,-3.14,1,1
r20422,0,-2.1316282072803E-12,0,0,0,0,0.000274889357189164,4.91937412136627E-09,-3.9105177216806E-25,-1.88485165620853E-26,8.59029241216137E-10,1.64877858206951E-25,4.91937412136627E-09,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r20422.STL,1,1,1,1,0,0,0,0,0,0,package://发电机层2026.09.20/meshes/r20422.STL,,柜子b-60/旋转按钮-74/连接柱-1,rotate2042_2,rotate2042,fr20422,revolute,-30.1,4.81130000000075,0.551314592744291,0,0,0,fadianground,0,1,0,100,1,0,0.8,,,0.1,1,3.14,-3.14,1,1
